,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,minus_log10_padj,significant
ENST00000574549,50.838926530262,9.10951795461158,1.91623067317495,4.75387336302172,1.99556060071694e-06,0.0003493788433204,THOC6-207,3.456703397313584,True
ENST00000685459,17.3751758380666,7.56046430319296,1.4887657713366,5.07834371850534,3.80739429457115e-07,8.08897113058014e-05,SBF1-215,4.092106714571616,True
ENST00000931645,98.0692288641417,10.0550903732496,1.54187066871833,6.52135783969991,6.967373869456659e-11,4.65754867670411e-08,SBF1-270,7.33184259753456,True
ENST00000536548,8.29579377140468,-6.49058397037245,1.63998773050681,-3.95770276181678,7.56740432786557e-05,0.0085316360258258,CPSF7-216,2.068967680572254,True
ENST00000541387,9.0110464345239,-6.6181809564224,1.6559121955494,-3.99669799776226,6.42321599572353e-05,0.0073735511359754,NFS1-214,2.132323303548771,True
ENST00000853577,14.8383180812772,-7.33290469129323,1.71087121704363,-4.2860646776,1.81866059077462e-05,0.002451284084871,SUSD6-207,2.6106063544588967,True
ENST00000865728,20.6581352897226,7.80843167023949,1.29761502505031,6.01752562932656,1.7710328155074402e-09,8.05539973978519e-07,SORBS2-343,6.093912903354587,True
ENST00000893858,11.2168139637265,-6.93539990665467,1.54311262290998,-4.4944223796031,6.97590426028532e-06,0.0010492314908944,CHAC2-202,2.979128683277614,True
ENST00000371356,56.3737969407851,-9.26085986669155,1.75650403874145,-5.2723248352603,1.34706382382236e-07,3.21780108859371e-05,AURKA-203,4.492440805729874,True
ENST00000395915,142.775000586943,-10.6027580549166,1.71805566885255,-6.17137048999,6.77005735537416e-10,3.45976070077208e-07,AURKA-208,6.460953938758736,True
ENST00000892434,112.240516464841,10.2509572227603,1.23241907837629,8.31775278606203,8.964675092922021e-17,6.24502858223193e-13,AURKA-216,12.204465569607347,True
ENST00000883579,28.7113722790821,-8.28708520057319,1.68627610692898,-4.91442959223653,8.90413163784094e-07,0.0001710510826492,TRIM39-214,3.766874172650591,True
ENST00000868172,7.33927670443591,6.31458212273668,1.43852720242242,4.38961606850617,1.13550958780517e-05,0.0016213043530992,PRRG1-212,2.790135451243791,True
ENST00000935655,9.37224384486045,-6.66853775484077,1.43670371125081,-4.64155392835665,3.4579874297187e-06,0.0005678607421961,ZUP1-208,3.2457581542729237,True
ENST00000916490,18.678650367776,7.66384976711867,1.85248116370772,4.13707297934386,3.51764256006123e-05,0.0044006772363624,TUFM-219,2.3564804831996375,True
ENST00000952349,21.5602035970255,7.86933876556424,1.36213147259954,5.77722409610441,7.59431093033152e-09,2.76147088029602e-06,ZBTB26-207,5.558859532050455,True
